row_index,sheet_number,scope,bid_item,text,text_frequency
309,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
310,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
311,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
312,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
313,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
314,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
315,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
316,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
317,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
318,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
319,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
320,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
322,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
323,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
324,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
325,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
326,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
327,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
328,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
329,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
330,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
331,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
332,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
333,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
334,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
335,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
336,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
337,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
338,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
339,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
340,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
341,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
342,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
343,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
344,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
345,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
346,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
347,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
348,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
349,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
350,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
351,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
352,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
353,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
354,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
355,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
356,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
357,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
358,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
359,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
360,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
361,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
