row_index,sheet_number,bid_item,text,ocr_hints
1105,A-425,Furnish & Install — Bike Racks,"BASIS OF DESIGN: THEPARK AND FACILITIES, DOUBLEUP SINGLE SIDED BIKE RACK, MODEL 398-4002 (4 RACKS)",[]
1106,A-425,Furnish & Install — Bike Racks,"BASIS OF DESIGN: THE RAMBLER WIDE BIKE RACK, SURFACE-MOUNTED",[]
1107,A-425,Furnish & Install — Bike Racks,BR1,"[""SHORT_TAG""]"
1108,A-425,Furnish & Install — Bike Racks,BR1,"[""SHORT_TAG""]"
1109,A-425,Furnish & Install — Bike Racks,BR2,"[""SHORT_TAG""]"
1110,A-425,Furnish & Install — Bike Racks,BR1,"[""SHORT_TAG""]"
1111,A-425,Furnish & Install — Bike Racks,BR1,"[""SHORT_TAG""]"
1112,A-425,Furnish & Install — Infrastructure for Intermediate Distribution Frame (IDF) Rooms,IDF 4000,[]
1113,A-425,Furnish & Install — Infrastructure for Intermediate Distribution Frame (IDF) Rooms,WHERE IDF ROOM EXISTS,[]
1114,A-425,Furnish & Install Knox Box for Emergency Access,KX1 KNOX KNOX BOX X,[]
1115,A-425,Furnish & Install Knox Box for Emergency Access,KNOX,[]
1116,A-425,Furnish & Install Knox Box for Emergency Access,KX1,"[""SHORT_TAG""]"
1117,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1118,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1119,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1120,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1121,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1122,A-425,Furnish & Install Grab Bars,GRAB BAR,[]
1123,A-602,Furnish & Install Brick Veneer System,BRICK FINISH,[]
1124,A-602,Furnish & Install Brick Veneer System,BRICK FINISH,[]
1125,A-602,Furnish & Install Brick Veneer System,BRICK FINISH,[]
1126,A-602,Furnish & Install Brick Veneer System,BRICK VENEER,[]
1127,A-602,Furnish & Install Masonry Weep Vents,"MASONRY WEEPS @ 24"" O.C. MINIMUM","[""POSSIBLE_DIMENSION""]"
1128,A-602,Furnish & Install Brick Soldier Course,"BRICK VENEER, SOLDIER COURSE",[]
1129,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
1130,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
